"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
0,0,0,0,0,0,1,0,1,0,0,0,0,0,6.9,2.59,9.49,126
0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.88,3.17,10.05,127
0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.85,2.78,9.63,128
0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.7,3.25,9.95,129
0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.67,3.52,10.19,130
0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.53,3.3,9.83,131
0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.52,3.33,9.85,132
0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.46,2.47,8.93,133
0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.42,3.11,9.53,134
0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.39,2.62,9.01,135
0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.36,2.95,9.31,136
0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.16,2.23,8.39,137
0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.11,2.84,8.95,138
0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.11,2.22,8.33,139
0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.06,3.07,9.13,140
0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.9,3.4,9.3,141
0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.87,3.03,8.9,142
0,0,0,0,0,0,0,1,0,0,1,0,0,0,5.86,2.56,8.42,143
0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.77,3.19,8.96,144
0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.68,2.98,8.66,145
0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.62,2.81,8.43,146
0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.53,2.28,7.81,147
0,0,0,1,0,0,0,0,1,0,0,0,0,0,5.5,3.04,8.54,148
0,0,0,0,0,0,0,0,0,0,1,0,1,0,5.4,2.04,7.44,149
0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.39,2.94,8.33,150
0,0,0,1,0,0,0,0,0,1,0,0,0,0,5.33,3.39,8.72,151
0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.21,2.01,7.22,152
0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.2,3.18,8.38,153
0,0,0,1,0,0,0,0,0,0,0,1,0,0,5.13,2.96,8.09,154
0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.12,1.81,6.93,155
0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.08,2.65,7.73,156
0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.07,2.79,7.86,157
